name,online_order,book_table,rate,votes,location,approx_cost(for two people),listed_in(type),listed_in(city)
"New Prashanth Hotel","Yes","No",3.1,53,"HSR",750,"Dine-out","Koramangala 6th Block"
"Zingron","Yes","No",4.1,516,"Koramangala 7th Block",750,"Dine-out","Koramangala 7th Block"
"Empire Restaurant","No","No",3.9,144,"Koramangala 7th Block",750,"Dine-out","Koramangala 7th Block"
"Pizza Hut","Yes","No",3.7,707,"Koramangala 7th Block",750,"Dine-out","Koramangala 7th Block"
"Maria's Goan Kitchen","Yes","No",4,396,"Koramangala 7th Block",750,"Dine-out","Koramangala 7th Block"
"ECHOES Koramangala","No","No",4.7,3220,"Koramangala 5th Block",750,"Dine-out","Koramangala 7th Block"
"Karama Restaurant","Yes","No",4.1,1574,"Koramangala 5th Block",750,"Dine-out","Koramangala 7th Block"
"Hyderabad Biryaani House","Yes","No",4.1,1118,"Koramangala 5th Block",750,"Dine-out","Koramangala 7th Block"
"Mani's Dum Biryani","Yes","No",3.9,784,"Koramangala 5th Block",750,"Dine-out","Koramangala 7th Block"
"Pipabu","Yes","No",3.6,76,"Koramangala 4th Block",750,"Dine-out","Koramangala 7th Block"
"Popsies","Yes","No",3.9,823,"Koramangala 5th Block",750,"Dine-out","Koramangala 7th Block"
"7 Plates","Yes","No",3.7,259,"Koramangala 5th Block",750,"Dine-out","Koramangala 7th Block"
"Go Italia","Yes","No",4,783,"Koramangala 6th Block",750,"Dine-out","Koramangala 7th Block"
"Biryanis And More","Yes","No",3.7,24,"Koramangala 5th Block",750,"Dine-out","Koramangala 7th Block"
"New Prashanth Hotel","Yes","No",3.1,53,"HSR",750,"Dine-out","Koramangala 7th Block"
"Akshaya Grand","Yes","No",3.4,29,"BTM",750,"Dine-out","Koramangala 7th Block"
"Empire Restaurant","Yes","No",4.4,2131,"Brigade Road",750,"Dine-out","Lavelle Road"
"The Egg Factory","Yes","No",4.2,1770,"St. Marks Road",750,"Dine-out","Lavelle Road"
"Pizza Hut","Yes","No",3.9,388,"Brigade Road",750,"Dine-out","Lavelle Road"
"Lotus Royal Cuisine","No","No",3.3,13,"Residency Road",750,"Dine-out","Lavelle Road"
"Dolci Desserts","Yes","No",4.3,657,"Cunningham Road",750,"Dine-out","Lavelle Road"
"Cafe Kaara","No","No",4.3,164,"Ulsoor",750,"Dine-out","Lavelle Road"
"Mudpipe Cafe","Yes","No",4.2,744,"Cunningham Road",750,"Dine-out","Lavelle Road"
"Mani's Dum Biryani","Yes","No",4,177,"Ulsoor",750,"Dine-out","Lavelle Road"
"Ta'aam","Yes","No",4.1,403,"Cunningham Road",750,"Dine-out","Lavelle Road"
"New Prashanth Hotel","Yes","No",3.7,50,"Majestic",750,"Dine-out","Lavelle Road"
"Blue Heaven Bar And Restaurant","No","No",3.2,6,"Majestic",750,"Dine-out","Lavelle Road"
"Spice Cove - I.V Sanctum","No","No",3.8,88,"Majestic",750,"Dine-out","Lavelle Road"
"Pizza Hut","Yes","No",2.8,340,"Malleshwaram",750,"Dine-out","Malleshwaram"
"Mehfil Family Restaurant","Yes","No",3,81,"Malleshwaram",750,"Dine-out","Malleshwaram"
"Swaadishta Restaurant","No","No",2.5,60,"Sadashiv Nagar",750,"Dine-out","Malleshwaram"
"Atithi","No","No",3.7,18,"Rajajinagar",750,"Dine-out","Malleshwaram"
"Madhura","No","No",3.7,27,"Yeshwantpur",750,"Dine-out","Malleshwaram"
"The Park East 01","No","No",3.8,53,"Race Course Road",750,"Dine-out","Malleshwaram"
"Makaranda","No","No",3.5,14,"Yeshwantpur",750,"Dine-out","Malleshwaram"
"Mani's Dum Biryani","Yes","No",4,284,"Marathahalli",750,"Dine-out","Marathahalli"
"Jashn","Yes","No",3.7,132,"Marathahalli",750,"Dine-out","Marathahalli"
"Red Stone Kitchen","Yes","No",3.8,94,"Marathahalli",750,"Dine-out","Marathahalli"
"Five Spice Dining","Yes","No",3.6,56,"Marathahalli",750,"Dine-out","Marathahalli"
"Pizza Hut","Yes","No",2.8,148,"Marathahalli",750,"Dine-out","Marathahalli"
"Moriz Restaurant","Yes","No",2.8,1878,"Brookefield",750,"Dine-out","Marathahalli"
"Apoorva Multi Cuisine Restaurant","Yes","No",3.9,236,"Brookefield",750,"Dine-out","Marathahalli"
"Freshkhilao","Yes","No",3.5,377,"Brookefield",750,"Dine-out","Marathahalli"
"Pizza Hut","Yes","No",3.6,37,"MG Road",750,"Dine-out","MG Road"
"Empire Restaurant","Yes","No",4.4,2139,"Brigade Road",750,"Dine-out","MG Road"
"Cafe Kaara","No","No",4.3,166,"Ulsoor",750,"Dine-out","MG Road"
"Mani's Dum Biryani","Yes","No",4,178,"Ulsoor",750,"Dine-out","MG Road"
"The Egg Factory","Yes","No",4.2,1770,"St. Marks Road",750,"Dine-out","MG Road"
"Lotus Royal Cuisine","No","No",3.3,13,"Residency Road",750,"Dine-out","MG Road"
"Dolci Desserts","Yes","No",4.3,657,"Cunningham Road",750,"Dine-out","MG Road"
"Ta'aam","Yes","No",4.1,405,"Cunningham Road",750,"Dine-out","MG Road"
"Lickity Garden","Yes","No",3.7,26,"Frazer Town",750,"Dine-out","MG Road"
"Pizza Hut","Yes","No",3.6,436,"New BEL Road",750,"Dine-out","New BEL Road"
"New Prashanth Hotel","Yes","No",3.1,40,"New BEL Road",750,"Dine-out","New BEL Road"
"The Egg Factory","Yes","No",4,380,"New BEL Road",750,"Dine-out","New BEL Road"
"Food Feed Restaurant","No","No",3.7,29,"New BEL Road",750,"Dine-out","New BEL Road"
"Pizza Hut","Yes","No",3.7,399,"Old Airport Road",750,"Dine-out","Old Airport Road"
"Mani's Dum Biryani","Yes","No",4,691,"Jeevan Bhima Nagar",750,"Dine-out","Old Airport Road"
"Coast","Yes","No",3.2,108,"Jeevan Bhima Nagar",750,"Dine-out","Old Airport Road"
"Empire Restaurant","Yes","No",4.1,8304,"Indiranagar",750,"Dine-out","Old Airport Road"
"Bites 2 Binge","Yes","No",3.7,19,"Indiranagar",750,"Dine-out","Old Airport Road"
"Empire Restaurant","Yes","No",4,633,"Rajajinagar",750,"Dine-out","Rajajinagar"
"Atithi","No","No",3.7,18,"Rajajinagar",750,"Dine-out","Rajajinagar"
"Pizza Hut","Yes","No",3.5,108,"Rajajinagar",750,"Dine-out","Rajajinagar"
"Chopstick World","No","No",4,178,"Basaveshwara Nagar",750,"Dine-out","Rajajinagar"
"New Prashanth Hotel","Yes","No",3.2,123,"Basaveshwara Nagar",750,"Dine-out","Rajajinagar"
"Mehfil Family Restaurant","Yes","No",3,81,"Malleshwaram",750,"Dine-out","Rajajinagar"
"Empire Restaurant","Yes","No",4.4,2162,"Brigade Road",750,"Dine-out","Residency Road"
"The Egg Factory","Yes","No",4.2,1773,"St. Marks Road",750,"Dine-out","Residency Road"
"Pizza Hut","Yes","No",3.8,390,"Brigade Road",750,"Dine-out","Residency Road"
"Lotus Royal Cuisine","No","No",3.3,13,"Residency Road",750,"Dine-out","Residency Road"
"Dolci Desserts","Yes","No",4.3,658,"Cunningham Road",750,"Dine-out","Residency Road"
"Cafe Kaara","No","No",4.3,167,"Ulsoor",750,"Dine-out","Residency Road"
"Mudpipe Cafe","Yes","No",4.2,745,"Cunningham Road",750,"Dine-out","Residency Road"
"Mani's Dum Biryani","Yes","No",4,180,"Ulsoor",750,"Dine-out","Residency Road"
"Ta'aam","No","No",4.1,405,"Cunningham Road",750,"Dine-out","Residency Road"
"The Chef Couple","No","No",3.4,17,"Sarjapur Road",750,"Dine-out","Sarjapur Road"
"Pizza Hut","Yes","No",3.1,150,"Sarjapur Road",750,"Dine-out","Sarjapur Road"
"Mani's Dum Biryani","Yes","No",4,918,"Bellandur",750,"Dine-out","Sarjapur Road"
"Empire Restaurant","Yes","No",3.7,2192,"Bellandur",750,"Dine-out","Sarjapur Road"
"Mani's Dum Biryani","Yes","No",4,438,"Whitefield",750,"Dine-out","Whitefield"
"Nieghbourhood Cafe","No","No",3.7,39,"Whitefield",750,"Dine-out","Whitefield"
"Moriz Restaurant","Yes","No",2.9,225,"Whitefield",750,"Dine-out","Whitefield"
"The Big Spoon","Yes","No",3.8,45,"Whitefield",750,"Dine-out","Whitefield"
"The Egg Factory","Yes","No",4,743,"Whitefield",750,"Dine-out","Whitefield"
"Pizza Hut","Yes","No",4,208,"Whitefield",750,"Dine-out","Whitefield"
"A Southern Fair","Yes","No",3,19,"Whitefield",750,"Dine-out","Whitefield"
"Bridgeway","No","No",3.8,94,"Mysore Road",550,"Dine-out","Banashankari"
"Srinathji's Cafe","No","No",3.8,148,"Basavanagudi",550,"Dine-out","Banashankari"
"Guru Greens","No","No",3.8,89,"Bannerghatta Road",550,"Dine-out","Bannerghatta Road"
"Neals Cafe","No","No",3.1,14,"Bannerghatta Road",550,"Dine-out","Bannerghatta Road"
"TAB - Take A Break","No","No",4.1,521,"JP Nagar",550,"Dine-out","Bannerghatta Road"
"Cuppa","No","No",3.4,48,"JP Nagar",550,"Dine-out","Bannerghatta Road"
"Srinathji's Cafe","No","No",3.8,148,"Basavanagudi",550,"Dine-out","Basavanagudi"
"Brew Bakes","No","No",3.4,13,"Jayanagar",550,"Dine-out","Basavanagudi"
"Cuppa","No","No",3.7,33,"Bellandur",550,"Dine-out","Bellandur"
"Spice Garden by Dum Mast Biryani","No","No",3.2,59,"Bellandur",550,"Dine-out","Bellandur"
"Cafe Olive","No","No",3.8,114,"Bellandur",550,"Dine-out","Bellandur"
"Hyderabad Biryaani House","No","No",4.3,1348,"Richmond Road",550,"Dine-out","Brigade Road"
"Green Onion","No","No",4.3,1199,"Residency Road",550,"Dine-out","Brigade Road"
"New Hilal Restaurant","No","No",4,108,"Shivajinagar",550,"Dine-out","Brigade Road"
"Little Chef","No","No",4,101,"Richmond Road",550,"Dine-out","Brigade Road"
"Chaithanya Delicacy","No","No",3.7,52,"Richmond Road",550,"Dine-out","Brigade Road"
"Nagashree's","No","No",2.9,46,"Shanti Nagar",550,"Dine-out","Brigade Road"
"Mughals Restaurant","No","No",3.2,17,"Shivajinagar",550,"Dine-out","Brigade Road"
"Salem Kitchen","No","No",3.4,230,"Brookefield",550,"Dine-out","Brookefield"
"Kerala Kitchen","No","No",3.4,82,"Marathahalli",550,"Dine-out","Brookefield"
"Utopia","No","No",2.8,59,"Marathahalli",550,"Dine-out","Brookefield"
"Narmadha's Hyderabad Biriyani","No","No",3.9,204,"BTM",550,"Dine-out","BTM"
"Golden Grill Restaurant","No","No",3.5,18,"BTM",550,"Dine-out","BTM"
"Amaravati Grand","No","No",3.4,7,"BTM",550,"Dine-out","BTM"
"Punjabi Daawat","No","No",2.4,221,"BTM",550,"Dine-out","BTM"
"Moghul Durbar Restaurant","No","No",4,335,"Jayanagar",550,"Dine-out","BTM"
"Malabar Coastal Cuisine","No","No",3.6,68,"Koramangala 7th Block",550,"Dine-out","BTM"
"Hyderabad Biryaani House","No","No",4.3,1352,"Richmond Road",550,"Dine-out","Church Street"
"Green Onion","No","No",4.3,1187,"Residency Road",550,"Dine-out","Church Street"
"Little Chef","No","No",4,102,"Richmond Road",550,"Dine-out","Church Street"
"Chaithanya Delicacy","No","No",3.7,52,"Richmond Road",550,"Dine-out","Church Street"
"Mughals Restaurant","No","No",3.2,17,"Shivajinagar",550,"Dine-out","Church Street"
"Nagashree's","No","No",2.9,46,"Shanti Nagar",550,"Dine-out","Church Street"
"Santhrupthi","No","No",3.4,5,"Electronic City",550,"Dine-out","Electronic City"
"Oasis Restaurant","No","No",2.9,28,"Electronic City",550,"Dine-out","Electronic City"
"Zaffron Express","No","No",3.5,8,"Electronic City",550,"Dine-out","Electronic City"
"Biriyani Paradise","No","No",3.5,18,"Electronic City",550,"Dine-out","Electronic City"
"S.K Green Gardens","No","No",3.2,4,"Electronic City",550,"Dine-out","Electronic City"
"E Foods Regalia","No","No",3.1,11,"Electronic City",550,"Dine-out","Electronic City"
"Mughals Restaurant","No","No",3.2,17,"Shivajinagar",550,"Dine-out","Frazer Town"
"Gold Bean","No","No",2.5,113,"HSR",550,"Dine-out","HSR"
"9th Cross Cafe","No","No",3.6,12,"Jeevan Bhima Nagar",550,"Dine-out","Indiranagar"
"Oyster Bay","No","No",3.2,5,"Old Airport Road",550,"Dine-out","Indiranagar"
"Moghul Durbar Restaurant","No","No",4,339,"Jayanagar",550,"Dine-out","Jayanagar"
"Brew Bakes","No","No",3.4,13,"Jayanagar",550,"Dine-out","Jayanagar"
"TAB - Take A Break","No","No",4.1,523,"JP Nagar",550,"Dine-out","Jayanagar"
"Golden Grill Restaurant","No","No",3.5,18,"BTM",550,"Dine-out","Jayanagar"
"Cuppa","No","No",3.4,48,"JP Nagar",550,"Dine-out","Jayanagar"
"Targaryen's Kitchen","No","No",3.6,25,"JP Nagar",550,"Dine-out","Jayanagar"
"Amaravati Grand","No","No",3.3,7,"BTM",550,"Dine-out","Jayanagar"
"TAB - Take A Break","No","No",4.1,522,"JP Nagar",550,"Dine-out","JP Nagar"
"Cuppa","No","No",3.4,48,"JP Nagar",550,"Dine-out","JP Nagar"
"Targaryen's Kitchen","No","No",3.6,25,"JP Nagar",550,"Dine-out","JP Nagar"
"Narmadha's Hyderabad Biriyani","No","No",3.9,205,"BTM",550,"Dine-out","JP Nagar"
"Shree Manjunatha Bar and Restaurant","No","No",3.4,9,"Kanakapura Road",550,"Dine-out","JP Nagar"
"Ludo CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©","No","No",3.9,144,"Kumaraswamy Layout",550,"Dine-out","JP Nagar"
"Amaravati Grand","No","No",3.4,7,"BTM",550,"Dine-out","JP Nagar"
"18+ Ice Cafe","No","No",3.5,24,"Kammanahalli",550,"Dine-out","Kalyan Nagar"
"18+ Ice Cafe","No","No",3.5,25,"Kammanahalli",550,"Dine-out","Kammanahalli"
"Malabar Coastal Cuisine","No","No",3.6,68,"Koramangala 7th Block",550,"Dine-out","Koramangala 4th Block"
"The Breakfast Truck","No","No",3.8,64,"Koramangala 6th Block",550,"Dine-out","Koramangala 4th Block"
"Malabar Coastal Cuisine","No","No",3.6,68,"Koramangala 7th Block",550,"Dine-out","Koramangala 5th Block"
"The Breakfast Truck","No","No",3.8,65,"Koramangala 6th Block",550,"Dine-out","Koramangala 5th Block"
"Golden Grill Restaurant","No","No",3.5,18,"BTM",550,"Dine-out","Koramangala 5th Block"
"Punjabi Daawat","No","No",2.4,221,"BTM",550,"Dine-out","Koramangala 5th Block"
"The Breakfast Truck","No","No",3.8,65,"Koramangala 6th Block",550,"Dine-out","Koramangala 6th Block"
"Malabar Coastal Cuisine","No","No",3.6,68,"Koramangala 7th Block",550,"Dine-out","Koramangala 6th Block"
"Malabar Coastal Cuisine","No","No",3.6,68,"Koramangala 7th Block",550,"Dine-out","Koramangala 7th Block"
"The Breakfast Truck","No","No",3.8,65,"Koramangala 6th Block",550,"Dine-out","Koramangala 7th Block"
"Moghul Durbar Restaurant","No","No",4,339,"Jayanagar",550,"Dine-out","Koramangala 7th Block"
"Golden Grill Restaurant","No","No",3.5,18,"BTM",550,"Dine-out","Koramangala 7th Block"
"Punjabi Daawat","No","No",2.4,221,"BTM",550,"Dine-out","Koramangala 7th Block"
"Green Onion","No","No",4.3,1189,"Residency Road",550,"Dine-out","Lavelle Road"
"Little Chef","No","No",4,102,"Richmond Road",550,"Dine-out","Lavelle Road"
"Bread and Circus","No","No",3.7,50,"Shanti Nagar",550,"Dine-out","Lavelle Road"
"Nagashree's","No","No",2.9,46,"Shanti Nagar",550,"Dine-out","Lavelle Road"
"Mughals Restaurant","No","No",3.1,17,"Shivajinagar",550,"Dine-out","Lavelle Road"
"New Shanthi Sagar","No","No",2.7,39,"Sadashiv Nagar",550,"Dine-out","Malleshwaram"
"Ottetumba Veg & Non Veg Restaurant","No","No",3.3,5,"Rajajinagar",550,"Dine-out","Malleshwaram"
"Kerala Kitchen","No","No",3.4,82,"Marathahalli",550,"Dine-out","Marathahalli"
"Balaji Abhiruchi Multicuisine Restaurant","No","No",3.4,27,"Marathahalli",550,"Dine-out","Marathahalli"
"Utopia","No","No",2.8,59,"Marathahalli",550,"Dine-out","Marathahalli"
"Salem Kitchen","No","No",3.4,232,"Brookefield",550,"Dine-out","Marathahalli"
"Green Onion","No","No",4.3,1191,"Residency Road",550,"Dine-out","MG Road"
"Little Chef","No","No",4,102,"Richmond Road",550,"Dine-out","MG Road"
"Mughals Restaurant","No","No",3.1,17,"Shivajinagar",550,"Dine-out","MG Road"
"Siddique Kabab Centre","No","No",3.9,435,"Frazer Town",550,"Dine-out","MG Road"
"Hotel Panchami Grand","No","No",3.5,15,"New BEL Road",550,"Dine-out","New BEL Road"
"Shivas Family Restaurant","No","No",3.4,8,"New BEL Road",550,"Dine-out","New BEL Road"
"Oyster Bay","No","No",3.2,5,"Old Airport Road",550,"Dine-out","Old Airport Road"
"9th Cross Cafe","No","No",3.6,12,"Jeevan Bhima Nagar",550,"Dine-out","Old Airport Road"
"Chinese Fire Dragon","No","No",3.4,25,"Domlur",550,"Dine-out","Old Airport Road"
"Ottetumba Veg & Non Veg Restaurant","No","No",3.3,5,"Rajajinagar",550,"Dine-out","Rajajinagar"
"Spices The Food Joint","No","No",3.1,9,"Rajajinagar",550,"Dine-out","Rajajinagar"
"Green Onion","No","No",4.3,1195,"Residency Road",550,"Dine-out","Residency Road"
"Little Chef","No","No",4,102,"Richmond Road",550,"Dine-out","Residency Road"
"Bread and Circus","No","No",3.7,50,"Shanti Nagar",550,"Dine-out","Residency Road"
"Nagashree's","No","No",2.9,46,"Shanti Nagar",550,"Dine-out","Residency Road"
"Mughals Restaurant","No","No",3.1,17,"Shivajinagar",550,"Dine-out","Residency Road"
"Taza Tawa","No","No",3.2,41,"Sarjapur Road",550,"Dine-out","Sarjapur Road"
"Spice Garden by Dum Mast Biryani","No","No",3.2,59,"Bellandur",550,"Dine-out","Sarjapur Road"
"Butterly Cafe","No","No",3.1,14,"Whitefield",550,"Dine-out","Whitefield"
"Sri Guru Nalapaka Restaurant","No","No",3.5,20,"Whitefield",550,"Dine-out","Whitefield"
"Biryani Bowl","No","No",3.3,10,"Whitefield",550,"Dine-out","Whitefield"
"Hunan Express","No","No",3.8,72,"Whitefield",550,"Dine-out","Whitefield"
"Smacznego","Yes","No",4.2,504,"Banashankari",550,"Dine-out","Banashankari"
"SLV Corner Restaurant","Yes","No",4.1,364,"Basavanagudi",550,"Dine-out","Banashankari"
"Hyderabad Biryaani House","Yes","No",3.6,796,"Bannerghatta Road",550,"Dine-out","Bannerghatta Road"
"Sakshi","Yes","No",3,38,"Bannerghatta Road",550,"Dine-out","Bannerghatta Road"
"Tandoor And Spice","Yes","No",4,180,"JP Nagar",550,"Dine-out","Bannerghatta Road"
"Swad Restaurant","Yes","No",3.7,115,"BTM",550,"Dine-out","Bannerghatta Road"
"SLV Corner Restaurant","Yes","No",4.1,364,"Basavanagudi",550,"Dine-out","Basavanagudi"
"Smacznego","Yes","No",4.2,504,"Banashankari",550,"Dine-out","Basavanagudi"
"De Thaali","Yes","No",3.9,144,"Jayanagar",550,"Dine-out","Basavanagudi"
"Samskruti - Sanman Gardenia","Yes","No",4.1,139,"Jayanagar",550,"Dine-out","Basavanagudi"
"Bread and Circus","Yes","No",3.7,50,"Shanti Nagar",550,"Dine-out","Basavanagudi"
"Unico","Yes","No",3.7,66,"Bellandur",550,"Dine-out","Bellandur"
"The Punjabi","Yes","No",2.9,32,"Bellandur",550,"Dine-out","Bellandur"
"Asia In A Box","Yes","No",3.1,9,"Bellandur",550,"Dine-out","Bellandur"
"Al Khansah","Yes","No",3.9,370,"Bellandur",550,"Dine-out","Bellandur"
"Hyderabad Biryaani House","Yes","No",3.7,833,"Marathahalli",550,"Dine-out","Bellandur"
"Ghar Ka Chulha","Yes","No",3.1,117,"Sarjapur Road",550,"Dine-out","Bellandur"
"Hatti Punjab Di","Yes","No",2.8,20,"Brigade Road",550,"Dine-out","Brigade Road"
"Dunkin' Donuts","Yes","No",4.1,1079,"Brigade Road",550,"Dine-out","Brigade Road"
"Taj Hotel","Yes","No",3.7,111,"Shivajinagar",550,"Dine-out","Brigade Road"
"Skyline Family Restaurant","Yes","No",3.4,33,"Shanti Nagar",550,"Dine-out","Brigade Road"
"Bread and Circus","Yes","No",3.7,50,"Shanti Nagar",550,"Dine-out","Brigade Road"
"Siddique Kabab Centre","Yes","No",3.9,430,"Frazer Town",550,"Dine-out","Brigade Road"
"Mughal Restaurant","Yes","No",3.3,218,"Brookefield",550,"Dine-out","Brookefield"
"Rayalaseema Spices","Yes","No",3.5,35,"Brookefield",550,"Dine-out","Brookefield"
"Dunkin' Donuts","Yes","No",4,180,"Brookefield",550,"Dine-out","Brookefield"
"Chinese Chaska","Yes","No",3.1,125,"Whitefield",550,"Dine-out","Brookefield"
"Savoury - Sea Shell Restaurant","Yes","No",3.9,467,"BTM",550,"Dine-out","BTM"
"Swad Restaurant","Yes","No",3.7,115,"BTM",550,"Dine-out","BTM"
"New Gongura's","Yes","No",3.7,44,"BTM",550,"Dine-out","BTM"
"Flavour of China","Yes","No",3.8,254,"BTM",550,"Dine-out","BTM"
"Wok Paper Scissors","Yes","No",4.3,1587,"Koramangala 5th Block",550,"Dine-out","BTM"
"Lot Like Crepes","Yes","No",4.7,1022,"Koramangala 7th Block",550,"Dine-out","BTM"
"Tandoor And Spice","Yes","No",4,181,"JP Nagar",550,"Dine-out","BTM"
"Popsies","Yes","No",3.9,823,"Koramangala 5th Block",550,"Dine-out","BTM"
"Breaktime Brew","Yes","No",3.7,24,"Koramangala 7th Block",550,"Dine-out","BTM"
"Sarvam","Yes","No",3.6,122,"HSR",550,"Dine-out","BTM"
"Sakshi","Yes","No",3,38,"Bannerghatta Road",550,"Dine-out","BTM"
"Hotel Smile","Yes","No",3.1,6,"Jayanagar",550,"Dine-out","BTM"
"Siddique Kabab Centre","Yes","No",3.1,68,"Jayanagar",550,"Dine-out","BTM"
"Mangalore pearl - Seafood Restaurant","Yes","No",4.3,94,"Ulsoor",550,"Dine-out","Church Street"
"New Hilal Restaurant","Yes","No",4,108,"Shivajinagar",550,"Dine-out","Church Street"
"Taj Hotel","Yes","No",3.7,110,"Shivajinagar",550,"Dine-out","Church Street"
"Hatti Punjab Di","Yes","No",2.8,20,"Brigade Road",550,"Dine-out","Church Street"
"Dunkin' Donuts","Yes","No",4.1,1079,"Brigade Road",550,"Dine-out","Church Street"
"Siddique Kabab Centre","Yes","No",3.9,430,"Frazer Town",550,"Dine-out","Church Street"
"Skyline Family Restaurant","Yes","No",3.4,33,"Shanti Nagar",550,"Dine-out","Church Street"
"Ujwal Restaurant","Yes","No",3.9,134,"Vasanth Nagar",550,"Dine-out","Church Street"
"Bread and Circus","Yes","No",3.7,50,"Shanti Nagar",550,"Dine-out","Church Street"
"Hatti Punjab Di","Yes","No",3,291,"Electronic City",550,"Dine-out","Electronic City"
"NMR Multicuisine Restaurant","Yes","No",3.6,9,"Electronic City",550,"Dine-out","Electronic City"
"Hotel Avakay","Yes","No",3.6,27,"Electronic City",550,"Dine-out","Electronic City"
"India Garden","Yes","No",3.3,211,"Electronic City",550,"Dine-out","Electronic City"
"Siddique Kabab Centre","Yes","No",3.9,431,"Frazer Town",550,"Dine-out","Frazer Town"
"New Hilal Restaurant","Yes","No",4,108,"Shivajinagar",550,"Dine-out","Frazer Town"
"Taj Hotel","Yes","No",3.7,110,"Shivajinagar",550,"Dine-out","Frazer Town"
"Ujwal Restaurant","Yes","No",3.9,134,"Vasanth Nagar",550,"Dine-out","Frazer Town"
"Luqma Restaurant","Yes","No",3.5,18,"RT Nagar",550,"Dine-out","Frazer Town"
"Al Daaz","Yes","No",4.2,583,"HSR",550,"Dine-out","HSR"
"New Gongura Grand","Yes","No",3.9,368,"HSR",550,"Dine-out","HSR"
"Sarvam","Yes","No",3.6,121,"HSR",550,"Dine-out","HSR"
"The Spice Factory","Yes","No",3.1,29,"HSR",550,"Dine-out","HSR"
"Bindu Garden Bar & Restaurant","Yes","No",3.1,36,"HSR",550,"Dine-out","HSR"
"Hotel Junior Kuppanna","Yes","No",3.1,266,"HSR",550,"Dine-out","HSR"
"Cinnamon","Yes","No",3.9,450,"HSR",550,"Dine-out","HSR"
"Meeraa's Beegara Oota","Yes","No",3.8,258,"HSR",550,"Dine-out","HSR"
"The Alphaa","Yes","No",3.8,272,"Bommanahalli",550,"Dine-out","HSR"
"Pingara","Yes","No",3.8,93,"Koramangala 1st Block",550,"Dine-out","HSR"
"Dande's Hyderabad Biryani","Yes","No",3,255,"Bommanahalli",550,"Dine-out","HSR"
"NMR Multicuisine Restaurant","Yes","No",3.6,9,"Electronic City",550,"Dine-out","HSR"
"Meaza Ginger Multi Cuisine Restaurant","Yes","No",3.6,91,"Indiranagar",550,"Dine-out","Indiranagar"
"Dakshin Biryani & Tiffin","Yes","No",3.4,334,"Indiranagar",550,"Dine-out","Indiranagar"
"Red Chilliez","Yes","No",3.6,216,"Thippasandra",550,"Dine-out","Indiranagar"
"Chinese Fire Dragon","Yes","No",3.4,25,"Domlur",550,"Dine-out","Indiranagar"
"Hyderabad Biryaani House","Yes","No",3.9,1615,"Old Airport Road",550,"Dine-out","Indiranagar"
"Status","Yes","No",3.6,119,"Old Airport Road",550,"Dine-out","Indiranagar"
"De Thaali","Yes","No",3.9,145,"Jayanagar",550,"Dine-out","Jayanagar"
"Samskruti - Sanman Gardenia","Yes","No",4,142,"Jayanagar",550,"Dine-out","Jayanagar"
"Hotel Smile","Yes","No",3.1,6,"Jayanagar",550,"Dine-out","Jayanagar"
"Siddique Kabab Centre","Yes","No",3.1,68,"Jayanagar",550,"Dine-out","Jayanagar"
"Tandoor And Spice","Yes","No",4,181,"JP Nagar",550,"Dine-out","JP Nagar"
"Hyderabad Biryaani House","Yes","No",3.6,798,"Bannerghatta Road",550,"Dine-out","JP Nagar"
"Sakshi","Yes","No",3,38,"Bannerghatta Road",550,"Dine-out","JP Nagar"
"Swad Restaurant","Yes","No",3.7,115,"BTM",550,"Dine-out","JP Nagar"
"Flavour of China","Yes","No",3.8,254,"BTM",550,"Dine-out","JP Nagar"
"Siddique Kabab Centre","Yes","No",3.1,68,"Jayanagar",550,"Dine-out","JP Nagar"
"Hotel Smile","Yes","No",3.1,6,"Jayanagar",550,"Dine-out","JP Nagar"
"New Kadai","Yes","No",3.4,23,"Kalyan Nagar",550,"Dine-out","Kalyan Nagar"
"Asia In A Box","Yes","No",3,16,"Kammanahalli",550,"Dine-out","Kalyan Nagar"
"Panda Boy","Yes","No",3.9,115,"Kammanahalli",550,"Dine-out","Kalyan Nagar"
"Jingo BBQ & Burgers","Yes","No",3.9,41,"Kammanahalli",550,"Dine-out","Kalyan Nagar"
"Chubalas Curry And Rice","Yes","No",4,209,"Kammanahalli",550,"Dine-out","Kalyan Nagar"
"Srinathjis","Yes","No",3.6,62,"Banaswadi",550,"Dine-out","Kalyan Nagar"
"Hotel New Karavali","Yes","No",3.4,8,"Hennur",550,"Dine-out","Kalyan Nagar"
"Coffee@Arens","Yes","No",3.8,77,"Banaswadi",550,"Dine-out","Kalyan Nagar"
"Vanas","Yes","No",4,72,"Kammanahalli",550,"Dine-out","Kammanahalli"
"Asia In A Box","Yes","No",2.9,18,"Kammanahalli",550,"Dine-out","Kammanahalli"
"Panda Boy","Yes","No",3.9,118,"Kammanahalli",550,"Dine-out","Kammanahalli"
"Chubalas Curry And Rice","Yes","No",4,211,"Kammanahalli",550,"Dine-out","Kammanahalli"
"Srinathjis","Yes","No",3.6,63,"Banaswadi",550,"Dine-out","Kammanahalli"
"New Kadai","Yes","No",3.5,24,"Kalyan Nagar",550,"Dine-out","Kammanahalli"
"Coffee@Arens","Yes","No",3.8,78,"Banaswadi",550,"Dine-out","Kammanahalli"
